'H30263'	腾讯济安	日线
日期	开盘	最高	最低	收盘
2013/11/18	1072.69	1087.83	1070.14	1087.83
2013/11/19	1088.11	1092.84	1082.44	1088.89
2013/11/20	1092.10	1102.48	1087.78	1102.48
2013/11/21	1098.89	1105.14	1091.09	1101.31
2013/11/22	1101.18	1104.80	1090.41	1092.50
2013/11/25	1090.89	1107.73	1088.38	1099.43
2013/11/26	1100.73	1111.51	1098.90	1109.10
2013/11/27	1107.23	1123.17	1106.83	1121.78
2013/11/28	1123.43	1138.43	1123.21	1131.82
2013/11/29	1132.61	1148.35	1131.36	1146.90
2013/12/02	1121.59	1133.26	1081.97	1090.51
2013/12/03	1085.50	1123.90	1084.08	1123.20
2013/12/04	1122.87	1155.22	1121.12	1145.91
2013/12/05	1145.73	1156.79	1141.87	1150.25
2013/12/06	1148.09	1153.40	1141.15	1144.48
2013/12/09	1147.03	1157.83	1147.03	1157.78
2013/12/10	1158.10	1164.80	1151.56	1160.83
2013/12/11	1158.80	1158.80	1139.00	1148.05
2013/12/12	1146.51	1163.41	1146.50	1155.40
2013/12/13	1151.57	1168.28	1147.34	1167.59
2013/12/16	1167.84	1170.71	1150.80	1152.94
2013/12/17	1152.51	1155.66	1141.18	1143.63
2013/12/18	1144.43	1153.19	1139.78	1146.47
2013/12/19	1148.78	1154.77	1136.14	1136.86
2013/12/20	1135.94	1140.90	1118.58	1121.13
2013/12/23	1121.22	1127.15	1102.64	1124.31
2013/12/24	1125.35	1144.32	1122.37	1134.60
2013/12/25	1133.69	1154.76	1130.36	1154.76
2013/12/26	1154.97	1155.24	1131.57	1131.72
2013/12/27	1131.15	1160.27	1131.05	1156.82
2013/12/30	1162.27	1168.06	1160.21	1163.84
2013/12/31	1158.82	1162.54	1149.61	1158.70
2014/01/02	1156.92	1170.68	1154.50	1170.63
2014/01/03	1167.15	1169.69	1154.52	1162.39
2014/01/06	1158.78	1158.78	1124.98	1125.93
2014/01/07	1121.02	1138.56	1117.75	1138.56
2014/01/08	1139.54	1150.70	1136.86	1142.55
2014/01/09	1138.85	1146.37	1117.29	1117.29
2014/01/10	1113.79	1116.61	1093.53	1097.71
2014/01/13	1097.26	1103.99	1086.09	1092.90
2014/01/14	1093.45	1120.99	1092.09	1120.99
2014/01/15	1118.90	1126.82	1116.39	1126.74
2014/01/16	1126.46	1139.18	1125.84	1130.63
2014/01/17	1127.15	1128.11	1116.55	1117.67
2014/01/20	1116.26	1121.92	1102.54	1106.85
2014/01/21	1106.37	1127.05	1106.37	1127.05
2014/01/22	1127.16	1152.16	1127.13	1152.16
2014/01/23	1152.70	1166.01	1150.57	1160.97
2014/01/24	1156.82	1175.87	1154.74	1173.42
2014/01/27	1167.55	1180.10	1161.44	1168.64
2014/01/28	1169.82	1175.56	1156.11	1167.63
2014/01/29	1168.56	1182.09	1167.62	1180.43
2014/01/30	1177.13	1180.22	1166.76	1168.88
2014/02/07	1160.15	1194.55	1157.90	1194.55
2014/02/10	1197.21	1228.48	1197.20	1228.31
2014/02/11	1226.33	1236.46	1211.81	1227.87
2014/02/12	1228.67	1246.11	1224.02	1246.11
2014/02/13	1243.55	1247.26	1219.90	1220.18
2014/02/14	1220.68	1252.72	1220.68	1252.72
2014/02/17	1259.18	1278.05	1257.68	1278.01
2014/02/18	1277.16	1283.30	1270.61	1275.75
2014/02/19	1273.28	1284.29	1266.85	1272.90
2014/02/20	1272.72	1276.04	1244.78	1248.31
2014/02/21	1245.74	1253.26	1230.89	1243.73
2014/02/24	1238.78	1252.71	1225.72	1252.71
2014/02/25	1254.48	1268.60	1196.04	1203.61
2014/02/26	1194.25	1210.24	1175.62	1210.16
2014/02/27	1211.07	1230.58	1189.73	1191.34
2014/02/28	1189.68	1204.12	1172.75	1203.22
2014/03/03	1202.15	1229.56	1200.40	1229.54
2014/03/04	1223.72	1229.05	1209.66	1227.61
2014/03/05	1230.67	1234.32	1221.71	1223.51
2014/03/06	1220.03	1232.89	1206.25	1229.81
2014/03/07	1229.29	1238.43	1220.40	1227.18
2014/03/10	1218.44	1218.44	1180.06	1181.05
2014/03/11	1176.80	1193.05	1172.03	1186.10
2014/03/12	1183.75	1192.33	1159.63	1178.99
2014/03/13	1177.15	1193.81	1176.89	1193.81
2014/03/14	1188.03	1196.15	1178.60	1187.60
2014/03/17	1188.11	1216.67	1188.11	1216.63
2014/03/18	1218.00	1228.82	1217.04	1222.94
2014/03/19	1222.38	1225.96	1209.47	1225.96
2014/03/20	1223.45	1232.10	1195.16	1195.44
2014/03/21	1189.42	1219.83	1183.64	1218.76
2014/03/24	1217.16	1229.58	1215.89	1225.10
2014/03/25	1222.76	1231.41	1217.10	1225.12
2014/03/26	1226.35	1234.16	1226.02	1231.01
2014/03/27	1229.25	1229.25	1209.61	1209.61
2014/03/28	1205.78	1209.03	1177.05	1178.46
2014/03/31	1178.13	1182.91	1166.28	1173.93
2014/04/01	1173.41	1194.18	1172.91	1194.18
2014/04/02	1194.53	1196.48	1185.65	1188.27
2014/04/03	1188.37	1194.63	1182.12	1187.04
2014/04/04	1186.27	1204.50	1184.59	1204.50
2014/04/08	1201.04	1218.20	1198.82	1218.20
2014/04/09	1219.45	1230.46	1219.26	1230.19
2014/04/10	1229.41	1237.14	1227.78	1230.17
2014/04/11	1224.38	1230.12	1217.79	1226.17
2014/04/14	1225.75	1238.98	1225.15	1238.65
2014/04/15	1238.87	1238.87	1227.34	1230.70
2014/04/16	1228.17	1236.74	1224.76	1235.22
2014/04/17	1236.11	1240.89	1232.53	1232.60
2014/04/18	1229.82	1235.84	1226.84	1235.65
2014/04/21	1226.55	1237.04	1214.97	1215.92
2014/04/22	1213.92	1220.70	1189.80	1205.09
2014/04/23	1202.96	1208.49	1193.71	1198.60
2014/04/24	1196.58	1197.85	1184.50	1184.76
2014/04/25	1183.17	1184.85	1154.04	1154.33
2014/04/28	1150.13	1150.16	1118.72	1119.94
2014/04/29	1115.88	1132.25	1114.77	1132.25
2014/04/30	1132.01	1145.20	1129.97	1143.23
2014/05/05	1142.35	1153.74	1138.59	1153.74
2014/05/06	1151.69	1163.85	1149.33	1159.40
2014/05/07	1156.02	1156.02	1138.50	1138.52
2014/05/08	1135.08	1154.34	1133.01	1138.63
2014/05/09	1137.72	1140.18	1118.13	1126.10
2014/05/12	1134.22	1157.21	1131.25	1157.21
2014/05/13	1156.55	1161.51	1151.45	1156.15
2014/05/14	1157.00	1160.71	1153.61	1157.14
2014/05/15	1156.40	1156.49	1131.67	1133.69
2014/05/16	1130.50	1134.04	1118.28	1131.41
2014/05/19	1128.50	1128.50	1116.71	1125.25
2014/05/20	1130.49	1140.32	1127.43	1130.01
2014/05/21	1127.80	1143.69	1118.70	1143.69
2014/05/22	1144.36	1154.23	1142.33	1144.02
2014/05/23	1141.33	1153.71	1140.44	1153.61
2014/05/26	1156.26	1167.51	1156.08	1167.51
2014/05/27	1165.90	1167.92	1159.41	1161.08
2014/05/28	1160.37	1174.92	1158.14	1174.92
2014/05/29	1176.76	1181.13	1160.32	1160.53
2014/05/30	1157.68	1162.23	1148.52	1157.72
2014/06/03	1158.75	1164.25	1157.34	1157.68
2014/06/04	1156.77	1156.77	1136.54	1146.84
2014/06/05	1145.15	1162.32	1144.87	1162.31
2014/06/06	1164.41	1166.33	1155.78	1162.43
2014/06/09	1159.47	1162.97	1152.64	1153.58
2014/06/10	1151.40	1165.85	1146.35	1165.58
2014/06/11	1163.96	1177.29	1162.00	1176.25
2014/06/12	1173.35	1177.97	1168.98	1174.14
2014/06/13	1170.69	1186.94	1169.87	1185.20
2014/06/16	1185.12	1191.49	1184.42	1190.72
2014/06/17	1188.69	1188.69	1177.35	1178.21
2014/06/18	1176.66	1179.18	1167.50	1168.01
2014/06/19	1167.61	1169.78	1135.11	1139.67
2014/06/20	1138.65	1152.36	1138.65	1152.16
2014/06/23	1152.43	1163.51	1152.43	1160.50
2014/06/24	1159.06	1170.09	1158.93	1170.09
2014/06/25	1168.58	1168.61	1160.37	1165.98
2014/06/26	1166.61	1183.82	1166.61	1182.06
2014/06/27	1182.70	1196.64	1180.69	1193.05
