'000978'	医药100	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2005/01/04	997.47	997.47	981.83	982.19	315598.00	193862880
2005/01/05	982.25	1001.13	982.25	998.75	376320.00	224196544
2005/01/06	1000.47	1000.47	988.48	991.33	404155.00	241601264
2005/01/07	989.43	1001.45	985.24	989.81	390398.00	250099040
2005/01/10	988.69	1000.70	984.84	1000.70	426912.00	289966816
2005/01/11	1001.99	1004.28	994.75	1001.18	469050.00	293475744
2005/01/12	999.00	999.58	991.73	999.58	378556.00	240727824
2005/01/13	999.41	1002.67	995.33	1001.54	459569.00	295621152
2005/01/14	1001.55	1006.56	992.69	992.87	583951.00	384400576
2005/01/17	985.87	985.87	968.34	971.08	650294.00	375951424
2005/01/18	971.17	984.05	969.33	984.05	623326.00	339773408
2005/01/19	983.90	983.90	974.02	976.07	601655.00	321767520
2005/01/20	972.83	972.83	953.64	957.26	588353.00	357105216
2005/01/21	956.02	977.61	944.25	977.61	701287.00	402772576
2005/01/24	991.37	998.58	986.94	997.46	1188919.00	681063104
2005/01/25	993.85	993.85	977.63	988.14	761848.00	434154112
2005/01/26	984.75	984.84	977.67	979.80	623334.00	345529568
2005/01/27	978.96	978.96	968.78	968.93	695103.00	367234016
2005/01/28	968.93	968.93	946.90	950.19	560208.00	302974528
2005/01/31	947.21	947.21	917.22	918.51	552643.00	293863616
2005/02/01	915.97	923.03	906.71	907.34	655510.00	342714336
2005/02/02	906.60	955.87	906.60	955.87	1010491.00	573578624
2005/02/03	954.92	961.54	939.34	940.40	1007024.00	573153024
2005/02/04	940.46	959.88	938.95	957.18	792417.00	473700896
2005/02/16	960.16	970.00	959.42	964.17	658384.00	377715872
2005/02/17	963.05	969.61	957.32	969.61	671111.00	372140992
2005/02/18	969.62	969.62	957.13	957.65	528021.00	303583200
2005/02/21	957.86	974.72	957.86	974.72	610217.00	367250176
2005/02/22	975.97	1000.48	974.13	1000.48	1157779.00	724513408
2005/02/23	1000.55	1009.64	992.81	1005.60	1106360.00	704944704
2005/02/24	1004.81	1011.42	1001.24	1011.42	1126867.00	702817664
2005/02/25	1011.25	1022.24	1010.95	1011.02	1210463.00	793972480
2005/02/28	1012.35	1013.86	1004.61	1009.28	993099.00	678736384
2005/03/01	1008.27	1009.68	999.44	1008.24	722941.00	446947808
2005/03/02	1008.61	1015.51	996.24	997.39	845089.00	560796288
2005/03/03	996.04	1000.52	987.26	1000.38	687283.00	423776928
2005/03/04	1000.24	1002.73	992.81	994.81	580019.00	356275520
2005/03/07	994.64	998.51	991.45	995.03	538074.00	395440640
2005/03/08	995.22	1022.43	995.22	1022.43	1130039.00	889610624
2005/03/09	1024.43	1030.23	1020.11	1024.78	1225917.00	851423616
2005/03/10	1024.64	1028.20	1000.13	1004.69	1062679.00	732837504
2005/03/11	1003.04	1010.30	996.61	1010.28	983719.00	688466432
2005/03/14	1010.13	1017.41	992.39	1009.56	1203883.00	951541312
2005/03/15	1009.49	1010.02	996.86	998.52	873760.00	666948928
2005/03/16	997.61	997.61	977.62	982.76	731197.00	563281088
2005/03/17	982.06	986.30	973.98	974.02	689102.00	474577696
2005/03/18	972.57	975.80	950.64	953.22	751399.00	488107424
2005/03/21	950.66	957.72	946.07	957.31	607234.00	457364096
2005/03/22	957.75	957.75	934.16	939.12	794163.00	573010944
2005/03/23	938.17	952.95	929.79	936.94	827537.00	587027072
2005/03/24	934.95	944.05	924.10	944.05	701492.00	503594240
2005/03/25	943.80	945.01	937.56	941.05	633265.00	353955872
2005/03/28	939.60	939.60	919.34	933.08	609733.00	355586464
2005/03/29	932.25	940.31	930.49	930.51	899248.00	554350720
2005/03/30	927.62	927.62	900.11	901.05	720829.00	448903136
2005/03/31	898.92	906.16	891.11	906.16	639884.00	354853312
2005/04/01	906.23	945.02	896.47	938.45	903149.00	566271872
2005/04/04	931.00	931.00	920.00	921.29	730327.00	481756960
2005/04/05	920.12	924.59	915.89	917.87	739481.00	433169632
2005/04/06	917.87	936.45	911.88	935.26	940065.00	646729600
2005/04/07	938.36	965.08	938.36	953.78	1424268.00	873036544
2005/04/08	954.70	972.53	951.34	972.03	1531037.00	882714816
2005/04/11	975.05	980.87	969.01	971.99	1716280.00	1077137024
2005/04/12	970.92	970.92	949.80	949.80	1182634.00	724555008
2005/04/13	952.90	969.24	952.90	966.71	1378617.00	829660608
2005/04/14	969.81	969.81	954.16	955.44	1202740.00	743680192
2005/04/15	951.45	951.45	934.32	936.76	1076641.00	648731776
2005/04/18	932.90	932.90	917.14	922.21	696855.00	378518976
2005/04/19	920.94	924.91	914.32	920.75	654074.00	371409184
2005/04/20	920.06	920.06	902.02	904.26	766309.00	421892320
2005/04/21	903.42	913.95	898.06	901.25	853534.00	571317824
2005/04/22	901.69	906.30	889.02	891.53	857011.00	478808256
2005/04/25	880.10	883.92	869.07	879.45	871013.00	508853728
2005/04/26	879.28	900.93	875.54	898.27	1169983.00	636260224
2005/04/27	901.95	901.95	884.33	884.76	945911.00	567056640
2005/04/28	880.94	905.86	873.83	904.32	1131561.00	665432384
2005/04/29	903.83	904.58	890.95	891.71	913791.00	495675776
2005/05/09	894.64	894.64	864.84	864.84	675665.00	406071200
2005/05/10	861.99	867.05	840.94	867.05	723987.00	436992736
2005/05/11	865.69	872.29	857.60	858.42	727230.00	432444384
2005/05/12	856.07	856.07	842.88	850.67	705494.00	443170656
2005/05/13	848.62	860.29	845.82	859.09	647296.00	364564288
2005/05/16	857.50	861.00	853.15	859.17	705150.00	359642496
2005/05/17	858.31	874.85	858.07	874.15	1122604.00	583820608
2005/05/18	872.37	880.01	865.03	878.15	872257.00	462622560
2005/05/19	877.09	879.77	867.47	877.90	739336.00	362830720
2005/05/20	877.11	880.22	873.18	874.36	675178.00	333708192
2005/05/23	871.20	871.20	848.98	850.25	652241.00	322023872
2005/05/24	847.57	865.11	847.57	862.86	700205.00	365148352
2005/05/25	862.03	862.03	850.39	853.38	851683.00	515402336
2005/05/26	851.53	853.14	830.17	834.58	772847.00	415715904
2005/05/27	831.85	837.18	823.74	823.74	490573.00	273538272
2005/05/30	820.31	828.65	815.17	827.78	511077.00	279003872
2005/05/31	828.10	833.25	826.37	829.25	569326.00	271156768
2005/06/01	828.00	828.00	809.47	813.04	520644.00	262963376
2005/06/02	812.38	812.38	789.75	796.08	690087.00	406602048
2005/06/03	792.26	796.79	783.31	796.74	574912.00	333848352
2005/06/06	794.29	811.88	783.60	811.88	574595.00	283972768
2005/06/07	813.05	829.58	809.24	812.38	879656.00	457289664
2005/06/08	814.54	879.61	814.54	877.00	2209301.00	1156799744
2005/06/09	876.82	896.86	872.64	885.36	2420547.00	1276760704
2005/06/10	884.74	884.74	859.63	862.35	1395307.00	707856640
2005/06/13	862.61	869.21	850.04	867.75	967936.00	465734656
2005/06/14	867.92	874.31	845.62	845.66	1291372.00	620806144
2005/06/15	840.53	840.53	822.69	823.32	815401.00	403156416
2005/06/16	822.82	835.98	816.91	835.98	804654.00	403115424
2005/06/17	839.37	839.37	827.77	829.77	902377.00	436494240
2005/06/20	828.85	854.35	819.52	854.35	1154855.00	633564416
2005/06/21	853.49	853.69	843.04	847.96	1168176.00	608415296
2005/06/22	846.39	854.34	842.74	854.31	833096.00	485231264
2005/06/23	853.06	858.41	845.57	845.71	815099.00	448565760
2005/06/24	843.80	852.42	840.34	852.42	822138.00	437493088
2005/06/27	858.52	878.81	858.52	875.72	1446365.00	795380992
2005/06/28	873.71	873.71	858.31	860.04	1019518.00	571501312
2005/06/29	861.12	862.68	855.20	856.11	836974.00	453425376
2005/06/30	855.01	855.01	835.29	835.95	838986.00	456745888
2005/07/01	833.60	833.60	804.77	804.77	892814.00	447215360
2005/07/04	801.43	801.43	778.86	793.54	715471.00	326506144
2005/07/05	792.66	796.49	785.10	791.59	464867.00	225330896
2005/07/06	790.76	797.79	784.94	788.80	499844.00	267663584
2005/07/07	788.80	792.98	784.06	791.62	545200.00	248645344
2005/07/08	790.47	790.47	763.59	764.10	634776.00	284156800
2005/07/11	765.37	782.59	755.37	755.37	604938.00	288175808
2005/07/12	751.21	779.66	747.66	779.66	893071.00	442310528
2005/07/13	777.63	777.63	767.88	770.15	623950.00	295453440
2005/07/14	768.89	775.77	766.58	771.58	584351.00	292908800
2005/07/15	772.28	775.93	749.68	751.58	840483.00	370390272
2005/07/18	749.05	749.05	730.74	733.18	591661.00	246187120
2005/07/19	733.04	741.33	729.71	737.69	453577.00	192466400
2005/07/20	739.61	747.66	736.85	744.23	450093.00	209050768
2005/07/21	745.08	745.08	732.89	741.85	460615.00	209639024
2005/07/22	741.61	763.68	741.61	758.34	1025611.00	472651104
2005/07/25	758.46	758.46	750.75	756.46	590491.00	281148672
2005/07/26	756.19	773.75	756.19	772.98	953862.00	436636896
2005/07/27	774.13	787.75	767.12	787.75	1087678.00	538719232
2005/07/28	788.03	794.27	783.28	786.61	1424416.00	665232192
2005/07/29	786.37	786.37	779.44	784.10	913026.00	406085120
2005/08/01	783.22	790.22	781.71	789.27	727691.00	331873120
2005/08/02	790.15	800.31	786.36	800.31	932034.00	427209216
2005/08/03	801.33	816.87	801.33	807.22	1823607.00	817554432
2005/08/04	806.72	807.55	801.03	803.87	1449612.00	736269184
2005/08/05	804.29	829.05	804.29	829.05	1867377.00	1008232704
2005/08/08	833.61	847.13	833.61	839.22	2102033.00	1181249792
2005/08/09	839.46	850.34	835.48	850.34	1737112.00	945282560
2005/08/10	851.02	865.07	840.90	865.07	2427703.00	1221629440
2005/08/11	865.30	876.89	862.10	876.89	2901815.00	1547910272
2005/08/12	878.01	880.70	856.13	859.35	3022843.00	1563030144
2005/08/15	858.31	886.85	858.31	886.85	2258662.00	1175688960
2005/08/16	890.80	895.27	879.54	885.89	2630142.00	1341295360
2005/08/17	883.35	900.56	867.02	900.56	2317239.00	1154015616
2005/08/18	900.24	907.74	860.93	860.94	2936354.00	1537377280
2005/08/19	856.52	864.16	839.39	854.07	1839376.00	963210880
2005/08/22	853.06	866.03	848.00	866.03	1438774.00	644904960
2005/08/23	866.64	866.64	850.65	860.47	1585436.00	709716288
2005/08/24	860.71	873.86	860.71	873.86	2017381.00	885951232
2005/08/25	873.75	879.69	865.61	879.69	1651970.00	740150784
2005/08/26	880.12	886.12	876.50	884.47	1648175.00	759598336
2005/08/29	884.16	884.16	866.98	871.87	1661310.00	734205824
2005/08/30	870.32	871.68	865.33	866.22	1291377.00	602180096
2005/08/31	866.33	891.85	866.33	891.85	1775588.00	878920960
2005/09/01	893.34	912.21	892.53	912.21	2523466.00	1276736896
2005/09/02	913.84	927.83	912.18	924.27	2535208.00	1304103680
2005/09/05	925.04	931.96	920.30	931.96	1693964.00	904651584
2005/09/06	933.17	935.97	903.69	905.53	2204751.00	1170367104
2005/09/07	902.66	932.02	902.03	932.02	1646800.00	905471360
2005/09/08	934.87	940.72	926.41	934.62	1958557.00	1104430592
2005/09/09	934.01	936.86	921.49	925.03	1281286.00	716464256
2005/09/12	923.59	929.93	919.83	929.93	995973.00	531831104
2005/09/13	929.63	947.84	929.63	947.84	1595514.00	865937024
2005/09/14	945.96	955.81	945.76	955.81	2261198.00	1134181248
2005/09/15	955.44	962.92	954.43	960.81	2257803.00	1100883200
2005/09/16	960.50	962.05	953.71	961.72	1657468.00	851272384
2005/09/19	961.66	972.90	961.66	972.90	1659793.00	885243968
2005/09/20	972.11	974.25	958.37	968.31	2187332.00	1193828352
2005/09/21	965.79	969.58	956.55	956.55	2210110.00	1191499136
2005/09/22	956.26	956.26	917.27	930.36	2127054.00	1114921088
2005/09/23	931.35	932.60	920.41	920.90	1434524.00	760611968
2005/09/26	919.01	922.80	913.04	922.80	959173.00	530302752
2005/09/27	922.30	922.30	908.60	910.75	1424837.00	814138624
2005/09/28	907.80	917.32	905.74	908.76	1170342.00	650465920
2005/09/29	907.56	924.04	907.56	924.04	1292981.00	676630272
2005/09/30	924.39	926.25	921.01	921.85	1164676.00	618073216
2005/10/10	921.34	921.34	908.52	908.76	885056.00	454182784
2005/10/11	907.74	927.67	907.14	927.67	954555.00	542492800
2005/10/12	927.99	940.37	923.87	935.95	1312891.00	775662720
2005/10/13	936.70	941.27	933.69	936.87	1218879.00	746552704
2005/10/14	936.32	937.82	928.08	930.28	1372182.00	823753920
2005/10/17	928.36	932.03	922.00	932.03	1134002.00	638080768
2005/10/18	931.90	946.74	931.90	946.74	1508789.00	819544256
2005/10/19	946.87	952.77	937.53	938.46	1508176.00	800645504
2005/10/20	938.18	940.36	926.92	940.36	1525621.00	861144064
2005/10/21	941.10	957.06	941.10	957.06	2027595.00	1032058624
2005/10/24	960.58	963.81	957.02	958.58	1952251.00	928409216
2005/10/25	958.10	958.10	942.42	942.73	1517698.00	760753280
2005/10/26	942.64	950.24	932.38	933.11	2042238.00	999936768
2005/10/27	930.05	937.86	922.37	927.35	1729144.00	903294720
2005/10/28	926.23	926.23	881.47	890.53	1635822.00	829926848
2005/10/31	886.04	890.46	879.25	887.30	1140702.00	566020160
2005/11/01	886.31	886.31	870.62	881.48	1137828.00	544030592
2005/11/02	883.16	898.69	883.16	898.15	1599469.00	719057408
2005/11/03	898.66	900.41	887.74	891.51	1444882.00	627232896
2005/11/04	891.75	898.66	885.23	898.66	1075548.00	560097152
2005/11/07	901.54	913.89	901.41	913.89	1483199.00	723287808
2005/11/08	913.86	919.61	907.43	919.60	1287128.00	620013440
2005/11/09	921.41	929.99	919.99	923.16	1846594.00	901814208
2005/11/10	921.82	923.45	902.19	903.20	1693323.00	853530112
2005/11/11	901.61	908.90	895.96	904.62	1150607.00	572828928
2005/11/14	902.83	903.71	895.65	902.65	881265.00	435368064
2005/11/15	901.90	906.29	889.20	893.62	1107983.00	543551168
2005/11/16	893.58	896.04	880.51	896.04	1004540.00	470363648
2005/11/17	895.56	903.37	894.44	901.69	1026320.00	472242752
2005/11/18	901.51	923.38	901.51	922.94	1865012.00	885086080
2005/11/21	927.42	932.14	923.98	927.10	1231515.00	603611008
2005/11/22	928.81	928.81	913.04	913.33	1148822.00	615580928
2005/11/23	912.32	919.72	912.32	918.69	876200.00	454007488
2005/11/24	918.01	925.09	917.38	919.97	1012410.00	533751040
2005/11/25	920.07	920.07	912.79	918.23	832018.00	436126304
2005/11/28	919.79	920.50	912.74	915.76	1023876.00	486467808
2005/11/29	916.19	916.19	906.37	906.83	825602.00	426244000
2005/11/30	909.28	909.28	899.61	908.91	958736.00	514827712
2005/12/01	910.56	911.24	902.29	908.18	890985.00	474540480
2005/12/02	905.79	907.00	892.54	893.99	1026341.00	522340544
2005/12/05	893.53	893.53	862.33	862.48	1122330.00	565250496
2005/12/06	860.04	863.97	856.94	861.30	780664.00	403494976
2005/12/07	861.30	868.12	861.00	868.12	763692.00	362321920
2005/12/08	869.62	871.73	859.19	862.95	769066.00	355576320
2005/12/09	862.79	877.51	861.58	877.51	910502.00	429868000
2005/12/12	878.04	883.61	876.59	883.01	920122.00	450128128
2005/12/13	883.76	883.76	873.37	882.27	930807.00	434412832
2005/12/14	882.27	892.00	877.00	892.00	1073945.00	564698112
2005/12/15	892.90	896.34	886.04	886.46	1038001.00	522865760
2005/12/16	886.40	894.26	883.67	894.26	970270.00	513757728
2005/12/19	894.15	895.61	890.69	893.90	800199.00	407243584
2005/12/20	893.67	893.67	886.65	890.85	799602.00	373307200
2005/12/21	891.06	893.04	882.88	884.37	829509.00	403914560
2005/12/22	884.23	891.57	882.68	891.57	819831.00	393581792
2005/12/23	891.49	898.15	891.49	898.15	934854.00	465383552
2005/12/26	899.02	903.26	898.88	903.26	1086370.00	572803200
2005/12/27	902.93	903.76	898.70	903.12	887493.00	455721248
2005/12/28	904.05	905.86	900.12	905.86	877957.00	475630304
2005/12/29	908.30	916.87	907.96	916.87	1499678.00	818168064
2005/12/30	922.00	922.00	910.31	911.93	1457883.00	887902272
2006/01/04	912.41	918.85	910.14	918.85	1342442.00	695670400
2006/01/05	918.85	931.47	918.85	931.47	1864067.00	1035638656
2006/01/06	936.23	946.63	929.34	944.28	2408762.00	1324630656
2006/01/09	946.50	955.11	943.49	955.11	2181954.00	1242190336
2006/01/10	955.35	956.86	948.38	956.86	1809178.00	1016170240
2006/01/11	956.14	956.14	942.89	945.78	1929528.00	1076267648
2006/01/12	945.32	969.34	945.32	969.34	2338864.00	1301559296
2006/01/13	969.60	974.85	966.10	971.68	2255018.00	1221223296
2006/01/16	970.91	970.91	956.80	956.80	1480298.00	858704640
2006/01/17	954.93	958.55	950.64	955.25	1283686.00	748913728
2006/01/18	954.95	971.65	954.95	971.65	1664302.00	944977472
2006/01/19	974.59	976.46	966.96	976.46	1753075.00	1017711872
2006/01/20	977.37	977.37	968.78	974.02	1853752.00	1132727552
2006/01/23	977.68	977.68	963.45	973.97	1898513.00	1023635584
2006/01/24	973.25	978.13	970.14	970.43	1628926.00	897560640
2006/01/25	969.74	976.43	963.63	969.51	1876722.00	1043692416
2006/02/06	971.25	985.98	970.84	985.98	1638478.00	959089600
2006/02/07	986.79	987.84	974.30	984.14	2053418.00	1171305728
2006/02/08	983.34	998.78	980.15	998.52	2218481.00	1207441664
2006/02/09	998.14	998.14	987.55	988.35	1891334.00	1174232832
2006/02/10	992.10	999.07	988.32	999.07	1725619.00	960479936
2006/02/13	1001.75	1010.14	998.16	1010.14	2145770.00	1341930752
2006/02/14	1011.05	1017.23	1011.05	1016.03	2051042.00	1103190272
2006/02/15	1016.98	1017.82	1011.08	1014.48	2268491.00	1185989120
2006/02/16	1016.10	1016.10	983.10	983.10	2435101.00	1318928384
2006/02/17	986.45	986.45	973.62	974.19	1825169.00	974656512
2006/02/20	972.73	972.73	963.12	963.12	1493369.00	796440256
2006/02/21	961.34	973.95	950.66	973.95	1798024.00	918936832
2006/02/22	973.64	979.55	970.17	972.32	1439771.00	753913216
2006/02/23	971.52	972.24	962.66	970.93	1446324.00	740800384
2006/02/24	971.45	982.26	970.68	981.76	1704906.00	873313216
2006/02/27	982.56	983.35	974.50	977.45	1448955.00	745784064
2006/02/28	976.69	978.93	962.30	978.93	1551888.00	721172160
2006/03/01	981.73	990.42	979.55	990.42	1681082.00	899164992
2006/03/02	990.69	993.21	972.92	974.89	1903908.00	1046934848
2006/03/03	974.01	979.06	965.62	975.07	1633891.00	904019392
2006/03/06	975.82	978.31	972.14	975.10	1024200.00	546898176
2006/03/07	975.28	975.28	950.39	951.18	1283685.00	650123904
2006/03/08	946.80	949.49	938.36	948.05	1269061.00	599526016
2006/03/09	948.17	951.48	941.98	943.36	861509.00	434364384
2006/03/10	943.77	947.68	940.29	945.45	751466.00	356491072
2006/03/13	945.29	949.14	943.05	949.10	727584.00	368901152
2006/03/14	946.87	950.62	944.05	950.62	1072978.00	500553408
2006/03/15	948.95	959.31	948.67	959.27	1203605.00	638021120
2006/03/16	958.05	963.73	956.60	963.05	1421152.00	686735104
2006/03/17	961.82	962.64	954.75	958.14	1110827.00	564602304
2006/03/20	957.72	968.98	954.36	968.98	1178492.00	605708224
2006/03/21	969.52	977.45	968.40	973.79	1814497.00	948712640
2006/03/22	973.65	983.59	971.84	983.59	1790727.00	936852736
2006/03/23	983.57	994.91	983.32	992.94	2231348.00	1129170048
2006/03/24	993.14	993.69	984.34	984.79	1902923.00	1092120192
2006/03/27	984.75	992.54	979.11	992.54	1437613.00	754143360
2006/03/28	992.88	997.94	990.85	996.77	1646244.00	877637120
2006/03/29	996.89	1004.65	994.41	999.69	1999237.00	1099618944
2006/03/30	999.39	1000.57	990.49	990.90	1731870.00	968097920
2006/03/31	988.39	991.47	982.18	991.35	1569222.00	872335232
2006/04/03	992.18	1011.73	992.18	1011.57	2342483.00	1313182336
2006/04/04	1015.76	1022.97	1010.42	1022.97	2555295.00	1390753536
2006/04/05	1023.00	1030.28	1020.87	1030.28	2206460.00	1339394944
2006/04/06	1033.30	1040.52	1025.26	1031.75	3034278.00	1671874048
2006/04/07	1031.73	1039.17	1028.58	1039.17	2624118.00	1469261824
2006/04/10	1041.96	1061.00	1041.15	1061.00	2970939.00	1624574464
2006/04/11	1063.64	1076.76	1055.89	1074.38	3619480.00	2258952704
2006/04/12	1074.39	1078.54	1069.48	1071.77	2874874.00	1753818368
2006/04/13	1076.95	1081.01	1048.71	1048.71	3715785.00	1941815296
2006/04/14	1046.12	1075.11	1040.76	1075.11	2724201.00	1612774016
2006/04/17	1074.53	1095.65	1074.19	1087.88	3572529.00	2086310144
2006/04/18	1087.02	1090.90	1078.85	1082.44	2721885.00	1604618752
2006/04/19	1083.96	1083.96	1068.93	1082.80	2760924.00	1623000064
2006/04/20	1082.17	1082.17	1066.02	1073.45	2865660.00	1829657472
2006/04/21	1070.61	1082.14	1060.43	1078.10	2312490.00	1452892160
2006/04/24	1082.87	1082.87	1051.94	1056.30	3288373.00	1965072384
2006/04/25	1051.40	1056.40	1040.26	1051.49	2569084.00	1467437184
2006/04/26	1051.90	1072.27	1051.90	1072.27	2927692.00	1754723840
2006/04/27	1075.21	1080.65	1067.94	1076.54	2652647.00	1559012992
2006/04/28	1070.40	1096.16	1055.04	1092.18	2998069.00	1676927104
2006/05/08	1097.78	1127.52	1097.78	1127.24	3547940.00	2043705728
2006/05/09	1132.69	1161.88	1131.75	1159.09	4840119.00	2840937472
2006/05/10	1161.61	1182.35	1148.82	1177.43	4502935.00	2706373120
2006/05/11	1178.02	1208.92	1167.93	1168.22	5349146.00	3194095616
2006/05/12	1165.39	1212.32	1165.39	1212.32	5007522.00	2962712576
2006/05/15	1228.39	1263.86	1215.66	1263.86	6925723.00	3964881664
2006/05/16	1265.51	1276.13	1215.93	1223.46	6008161.00	3604161024
2006/05/17	1228.06	1265.54	1228.06	1260.43	4992689.00	2939284480
2006/05/18	1264.99	1280.56	1252.43	1273.57	4343339.00	2695116800
2006/05/19	1278.60	1312.73	1278.34	1310.36	4513156.00	2929411840
2006/05/22	1322.56	1355.32	1322.56	1345.28	5109425.00	3406490880
2006/05/23	1349.25	1349.25	1276.69	1276.69	4956433.00	3194431232
2006/05/24	1277.99	1291.62	1219.53	1245.33	3622341.00	2257000192
2006/05/25	1245.45	1265.85	1237.40	1263.01	2711106.00	1641614336
2006/05/26	1269.43	1298.31	1269.43	1298.31	3174314.00	1873801600
2006/05/29	1309.67	1333.45	1297.26	1333.45	3611083.00	2495697408
2006/05/30	1337.83	1342.26	1326.43	1342.26	3582469.00	2347342848
2006/05/31	1340.06	1354.08	1326.20	1334.38	4380073.00	2792136192
2006/06/01	1339.41	1401.83	1339.41	1401.81	5996588.00	3873220096
2006/06/02	1414.73	1427.52	1400.36	1415.65	6468619.00	4208094976
2006/06/05	1423.38	1445.11	1404.19	1445.11	4836198.00	3117635840
2006/06/06	1444.82	1449.07	1428.74	1431.86	3981673.00	2508048128
2006/06/07	1431.74	1431.74	1332.65	1332.65	4438858.00	2748109568
2006/06/08	1316.46	1337.35	1290.42	1337.35	3685358.00	2169381376
2006/06/09	1334.14	1346.51	1306.85	1307.47	3257695.00	1935115520
2006/06/12	1300.28	1319.71	1300.28	1312.11	1851393.00	1081607936
2006/06/13	1313.48	1329.29	1301.30	1316.32	2091562.00	1165204224
2006/06/14	1314.95	1322.04	1298.89	1322.04	2421810.00	1376655744
2006/06/15	1324.92	1344.80	1324.92	1330.02	2140222.00	1314021504
2006/06/16	1345.13	1364.32	1345.13	1362.68	2567376.00	1639626496
2006/06/19	1353.48	1390.12	1353.48	1387.80	2923422.00	2056999040
2006/06/20	1388.63	1406.54	1388.63	1404.02	3006238.00	2161373440
2006/06/21	1405.09	1409.93	1386.25	1395.12	2676921.00	1852299392
2006/06/22	1395.28	1398.62	1385.58	1391.61	2163082.00	1393827712
2006/06/23	1389.92	1407.26	1381.91	1407.26	2179106.00	1409277952
2006/06/26	1409.24	1429.38	1409.24	1428.72	2386208.00	1688600064
2006/06/27	1434.30	1436.33	1422.98	1435.90	2473675.00	1587181056
2006/06/28	1434.78	1440.09	1426.12	1437.84	2488766.00	1566625024
2006/06/29	1437.51	1459.38	1437.51	1459.38	3204018.00	2157621248
2006/06/30	1464.98	1464.98	1445.39	1454.30	3313157.00	2033505280
2006/07/03	1456.75	1476.68	1456.75	1476.68	3485394.00	2182169344
2006/07/04	1479.46	1484.67	1459.42	1469.90	3973776.00	2488638208
2006/07/05	1468.51	1468.51	1435.53	1453.67	2706857.00	1759457280
2006/07/06	1451.84	1488.95	1451.84	1488.95	2838932.00	1913934080
2006/07/07	1494.92	1506.90	1494.92	1496.85	4043905.00	2669260288
2006/07/10	1498.53	1506.52	1487.26	1506.52	2845842.00	1820181376
2006/07/11	1507.86	1509.09	1494.78	1509.09	2665271.00	1812478080
2006/07/12	1510.55	1510.72	1496.71	1497.53	3323864.00	2107182976
2006/07/13	1492.59	1492.59	1388.78	1388.78	4905462.00	3047135744
2006/07/14	1374.88	1410.82	1374.88	1399.83	2869471.00	1677022592
2006/07/17	1395.29	1418.18	1393.94	1418.18	2348774.00	1376675712
2006/07/18	1421.38	1429.20	1409.04	1429.20	2172659.00	1199697152
2006/07/19	1429.33	1429.33	1387.76	1395.08	2146198.00	1277816832
2006/07/20	1393.09	1412.85	1388.80	1412.85	2077369.00	1265504640
2006/07/21	1410.29	1421.58	1410.29	1416.80	1789058.00	1046548288
2006/07/24	1392.84	1423.43	1392.84	1423.43	1968158.00	1235673984
2006/07/25	1432.05	1443.83	1432.01	1440.92	2289105.00	1480826240
2006/07/26	1443.33	1465.51	1441.53	1459.69	2426470.00	1585900032
2006/07/27	1459.63	1465.69	1431.20	1443.57	2625224.00	1713969280
2006/07/28	1441.21	1447.83	1422.67	1438.77	2541730.00	1658880768
2006/07/31	1434.41	1434.41	1379.95	1380.74	1945663.00	1251757696
2006/08/01	1377.38	1387.87	1354.43	1359.30	1391809.00	860372992
2006/08/02	1358.63	1363.40	1328.20	1352.73	1418706.00	865549824
2006/08/03	1354.20	1362.39	1344.01	1352.61	1136505.00	750431488
2006/08/04	1352.00	1358.07	1307.27	1307.84	1234857.00	758761344
2006/08/07	1299.50	1299.50	1270.55	1272.13	1162917.00	678177216
2006/08/08	1270.20	1307.81	1270.20	1307.81	1321653.00	712436352
2006/08/09	1305.27	1313.75	1297.56	1309.45	1264955.00	679349952
2006/08/10	1308.89	1328.25	1308.89	1328.25	1272685.00	756061568
2006/08/11	1328.70	1338.53	1321.87	1337.19	1275337.00	708000896
2006/08/14	1337.00	1341.83	1293.18	1297.48	1531520.00	888878528
2006/08/15	1294.61	1318.73	1286.95	1318.73	1120891.00	622061952
2006/08/16	1318.83	1339.59	1314.39	1339.59	1972467.00	970134272
2006/08/17	1340.94	1343.43	1316.16	1340.37	2187200.00	1062248384
2006/08/18	1337.96	1344.52	1331.63	1332.82	1555221.00	872014272
2006/08/21	1290.92	1339.44	1290.92	1339.44	1503714.00	856081408
2006/08/22	1338.67	1359.43	1337.24	1354.23	1862894.00	1035220608
2006/08/23	1362.34	1362.34	1342.94	1346.97	1705840.00	1052590336
2006/08/24	1347.35	1362.76	1337.02	1362.76	1568309.00	934556864
2006/08/25	1363.71	1366.22	1357.01	1359.38	1811234.00	1030405120
2006/08/28	1360.72	1386.28	1360.11	1386.28	2130565.00	1265873152
2006/08/29	1388.07	1403.33	1384.03	1384.43	2886020.00	1691584768
2006/08/30	1382.26	1383.90	1371.37	1383.85	1825566.00	1015469824
2006/08/31	1385.79	1390.82	1380.42	1390.82	1877946.00	1062983872
2006/09/01	1386.51	1390.11	1363.25	1363.56	2040556.00	1113475328
2006/09/04	1366.68	1391.32	1366.24	1391.32	1649887.00	1016478848
2006/09/05	1391.16	1396.30	1388.06	1395.82	2028917.00	1156263040
2006/09/06	1397.25	1403.49	1387.81	1403.49	1948611.00	997007616
2006/09/07	1397.21	1397.21	1376.41	1379.37	1596212.00	922942784
